   1.49997604        -6.42967923E-03
   1.49991226        -1.28591107E-02
   1.49980855        -1.92880463E-02
   1.49966502        -2.57162396E-02
   1.49948168        -3.21434475E-02
   1.49925840        -3.85694169E-02
   1.49899530        -4.49939072E-02
   1.49869239        -5.14166653E-02
   1.49834967        -5.78374490E-02
   1.49796712        -6.42559975E-02
   1.49754477        -7.06720874E-02
   1.49708259        -7.70854577E-02
   1.49658072        -8.34958628E-02
   1.49603915        -8.99030566E-02
   1.49545777        -9.63067859E-02
   1.49483669       -0.102706812    
   1.49417591       -0.109102890    
   1.49347556       -0.115494773    
   1.49273551       -0.121882208    
   1.49195588       -0.128264964    
   1.49113667       -0.134642780    
   1.49027801       -0.141015425    
   1.48937988       -0.147382662    
   1.48844218       -0.153744206    
   1.48746502       -0.160099834    
   1.48644853       -0.166449308    
   1.48539257       -0.172792390    
   1.48429739       -0.179128811    
   1.48316288       -0.185458362    
   1.48198926       -0.191780791    
   1.48077631       -0.198095828    
   1.47952425       -0.204403251    
   1.47823322       -0.210702807    
   1.47690284       -0.216994271    
   1.47553372       -0.223277390    
   1.47412562       -0.229551911    
   1.47267842       -0.235817626    
   1.47119248       -0.242074251    
   1.46966779       -0.248321563    
   1.46810436       -0.254559338    
   1.46650219       -0.260787338    
   1.46486163       -0.267005295    
   1.46318257       -0.273212969    
   1.46146488       -0.279410154    
   1.45970893       -0.285596550    
   1.45791459       -0.291772008    
   1.45608199       -0.297936231    
   1.45421124       -0.304088950    
   1.45230234       -0.310230017    
   1.45035541       -0.316359133    
   1.44837046       -0.322476089    
   1.44634759       -0.328580648    
   1.44428682       -0.334672540    
   1.44218838       -0.340751588    
   1.44005227       -0.346817523    
   1.43787861       -0.352870077    
   1.43566740       -0.358909100    
   1.43341875       -0.364934325    
   1.43113279       -0.370945454    
   1.42880952       -0.376942366    
   1.42644918       -0.382924765    
   1.42405176       -0.388892472    
   1.42161739       -0.394845188    
   1.41914618       -0.400782734    
   1.41663826       -0.406704873    
   1.41409349       -0.412611365    
   1.41151226       -0.418501973    
   1.40889454       -0.424376488    
   1.40624034       -0.430234700    
   1.40354991       -0.436076343    
   1.40082324       -0.441901207    
   1.39806056       -0.447709084    
   1.39526212       -0.453499734    
   1.39242733       -0.459272921    
   1.38955677       -0.465028465    
   1.38665104       -0.470766127    
   1.38370955       -0.476485670    
   1.38073266       -0.482186884    
   1.37772048       -0.487869591    
   1.37467313       -0.493533462    
   1.37159061       -0.499178380    
   1.36847317       -0.504804134    
   1.36532092       -0.510410488    
   1.36213386       -0.515997112    
   1.35891223       -0.521563947    
   1.35565615       -0.527110696    
   1.35236585       -0.532637119    
   1.34904122       -0.538143098    
   1.34568250       -0.543628454    
   1.34228981       -0.549092770    
