   1.48880744     ; -0.193752363    
   1.48865938     ; -0.195029810    
   1.48851037     ; -0.196307138    
   1.48836040     ; -0.197584361    
   1.48820937     ; -0.198861465    
   1.48805737     ; -0.200138450    
   1.48790443     ; -0.201415330    
   1.48775053     ; -0.202692091    
   1.48759568     ; -0.203968734    
   1.48743987     ; -0.205245256    
   1.48728311     ; -0.206521660    
   1.48712528     ; -0.207797945    
   1.48696649     ; -0.209074110    
   1.48680675     ; -0.210350156    
   1.48664606     ; -0.211626083    
   1.48648441     ; -0.212901890    
   1.48632181     ; -0.214177579    
   1.48615825     ; -0.215453133    
   1.48599374     ; -0.216728568    
   1.48582816     ; -0.218003884    
   1.48566163     ; -0.219279066    
   1.48549414     ; -0.220554128    
   1.48532569     ; -0.221829057    
   1.48515630     ; -0.223103866    
   1.48498595     ; -0.224378541    
   1.48481464     ; -0.225653082    
   1.48464239     ; -0.226927489    
   1.48446918     ; -0.228201777    
   1.48429489     ; -0.229475930    
   1.48411965     ; -0.230749950    
   1.48394346     ; -0.232023835    
   1.48376632     ; -0.233297586    
   1.48358822     ; -0.234571204    
   1.48340917     ; -0.235844687    
   1.48322916     ; -0.237118036    
   1.48304820     ; -0.238391250    
   1.48286617     ; -0.239664316    
   1.48268318     ; -0.240937248    
   1.48249924     ; -0.242210045    
   1.48231435     ; -0.243482709    
   1.48212850     ; -0.244755223    
   1.48194170     ; -0.246027604    
   1.48175395     ; -0.247299835    
   1.48156524     ; -0.248571932    
   1.48137558     ; -0.249843881    
   1.48118496     ; -0.251115680    
   1.48099327     ; -0.252387345    
   1.48080063     ; -0.253658861    
   1.48060703     ; -0.254930228    
   1.48041248     ; -0.256201446    
   1.48021698     ; -0.257472515    
   1.48002052     ; -0.258743435    
   1.47982311     ; -0.260014206    
   1.47962475     ; -0.261284828    
   1.47942543     ; -0.262555301    
   1.47922516     ; -0.263825625    
   1.47902393     ; -0.265095800    
   1.47882164     ; -0.266365826    
   1.47861838     ; -0.267635703    
   1.47841418     ; -0.268905401    
   1.47820902     ; -0.270174950    
   1.47800291     ; -0.271444350    
   1.47779584     ; -0.272713602    
   1.47758782     ; -0.273982674    
   1.47737885     ; -0.275251597    
   1.47716892     ; -0.276520371    
   1.47695804     ; -0.277788967    
   1.47674620     ; -0.279057413    
   1.47653329     ; -0.280325711    
   1.47631943     ; -0.281593829    
   1.47610462     ; -0.282861799    
